plate or well,type,fk,multivalued,include,comment,data_type,total (well),total (plate),plate_types
,,,,n,,assigned_ics,3,0,EPD (3)
,,,,n,,assigned_mrc,4,0,EPD (4)
,,,,n,,assigned_sng,187,0,EPD (187)
,,,,n,,assignment_comment,539,0,EPD (539)
,,,,n,,available,49,0,EPD (49)
,cv,,,y,,backbone,1601957,0,"EPD (573495), FP (553432), PGD (294506), PGG (69628), GRQ (46752), PCS (24171), EP (20791), REPD (13920), GR (4510), GRD (388), VTP (334), PIQ (30)"
,,,,n,,bacs,0,186,DESIGN (186)
,,,,n,,best,193,0,"GRD (166), PGG (27)"
,cv,,,y,,cassette,1634918,0,"EPD (572349), FP (566788), PGD (293029), PGG (69484), REPD (56109), GRQ (46752), EP (20748), GR (8125), PCS (672), GRD (388), VTP (334), DESIGN (96), PIQ (44)"
,,,,n,,cell_cnr_assign_date,238,0,"EPD (233), FP (5)"
,,,,n,,cell_cnr_status,238,0,EPD (238)
,,,,n,,cell_gsf_assign_date,342,0,EPD (342)
,,,,n,,cell_gsf_status,344,0,EPD (344)
,,,,n,,cell_ics_assign_date,302,0,"EPD (297), FP (5)"
,,,,n,,cell_ics_status,298,0,EPD (298)
,,,,n,,cell_mrc_assign_date,343,0,"EPD (338), FP (5)"
,,,,n,,cell_mrc_status,350,0,EPD (350)
,,,,n,,cell_sng_assign_date,3364,0,EPD (3364)
,,,,n,,cell_sng_status,4365,0,EPD (4365)
,,,,n,implicit from tracking,clone_name,390841,0,"PGD (275822), PC (55174), PCS (43704), GRQ (14908), PGG (1233)"
,,,,n,,clone_selecteion,0,1,PCS (1)
,,,,n,,clone_selection,0,122,"PCS (121), PGD (1)"
,,,,n,,comment,3,0,DESIGN (3)
,cv,,,y,,computed_five_arm_pass_level,651089,0,"EPD (636369), REPD (14704), EP (16)"
,cv,,,y,,computed_loxP_pass_level,651089,0,"EPD (636369), REPD (14704), EP (16)"
,cv,,,y,,computed_three_arm_pass_level,651089,0,"EPD (636369), REPD (14704), EP (16)"
,,,,n,,cuvettes,0,1,EP (1)
,,,,n,,debug_pqccn,2035,0,"EP (1203), EPD (832)"
,,,,n,,design_instance,752,0,PGD (752)
,cv,,,y,,distribute,250132,0,"PGD (116032), EPD (110166), PCS (22681), PGG (739), GRQ (189), GRD (166), GR (159)"
,,,,n,,dna_prep,480,0,GR (480)
,,,,n,,dna_stock,288,0,GR (288)
,,,,n,,do_not_distribute,0,1,PGD (1)
,cv,,,y,,do_not_ep,572,0,GRQ (572)
,,,,n,,electroporator,0,1,EP (1)
,cv,,,y,es_cell_line,es cell line,0,2,EP (2)
,cv,,,y,es_cell_line,es_cell_line,31,1502,"EP (1258), EPD (272), FP (3)"
,,,,n,,es_cell_strain,0,3,EP (3)
,,,,n,,exp_design_id,551319,0,"EPD (541742), GR (7533), REPD (1978), PGD (66)"
,,,,n,,expected_instance_id,88,0,EPD (88)
,,,,n,,first_qc_date,0,676,"EPD (433), PGD (96), GR (76), PCS (71)"
,cv,,,y,the qc results for an EPD well are in flux,five_arm_pass_level,309436,0,"EPD (305510), REPD (3926)"
,fk,,,y,the qc results for an EPD well are in flux,five_arm_qctest_result_id,309436,0,"EPD (305510), REPD (3926)"
,,,,n,,frt_status,3415,0,GT (3415)
,,,,n,,gateway_recovery,0,323,PGD (323)
,,,,n,,gateway_reovery,0,1,PGD (1)
,,,,n,,gene_id_eucomm_gt,7823,0,GT (7823)
,,,,n,,gene_ident_qc,412,0,"GRD (385), PGG (27)"
,,,,n,,growth,341,0,GR (341)
,,,,n,,growth_cond_in_liquid,480,0,GR (480)
,,,,n,,growth_cond_on_plate,480,0,GR (480)
,,,,n,,interest_cnr,10,0,EPD (10)
,,,,n,,interest_gsf,7,0,EPD (7)
,,,,n,,interest_ics,6,0,EPD (6)
,,,,n,,interest_mrc,10,0,EPD (10)
,,,,n,,interest_sng,28,0,EPD (28)
,,,,n,,is_384,0,3513,"PGD (2722), PC (576), PCS (215)"
,,,,n,,is_96,0,1,PGD (1)
,,,,n,,is_eucomm,0,53,EP (53)
,,,,n,,lab_number,46,0,PIQ (46)
,,,,n,,loa_done,0,8,REPD (8)
,,,,n,,loa_qc_result,8102,0,REPD (8102)
,,,,n,,"ms = 141, 121, 141, 141, 162",0,1,EP (1)
,,,,n,qc on these via a BAG,obs_design_id,551319,0,"EPD (541742), GR (7533), REPD (1978), PGD (66)"
,,,,n,,pass_from_recovery_QC,946,0,EPD (946)
,cv,,,y,qc system,pass_level,882432,0,"EPD (457834), PGD (269462), PC (55174), PCS (43071), GRQ (38803), GT (7823), GR (7533), REPD (1717), PGG (1015)"
,,,,n,,pass_r,889,0,REPD (889)
,cv,,,y,,pcr_d,14411,0,DESIGN (14411)
,cv,,,y,,pcr_g,14400,0,DESIGN (14400)
,cv,,,y,,pcr_u,14404,0,DESIGN (14404)
,cv,,,y,another archive label?,plate_label,0,2784,"PGD (2516), PCS (268)"
,,,,n,,postcre,14460,0,DESIGN (14460)
,cv,,,y,,primer_band_gf1,1486,0,EPD (1486)
,cv,,,y,,primer_band_gf2,1485,0,EPD (1485)
,cv,,,y,,primer_band_gf3,77056,0,"EPD (75074), REPD (1982)"
,cv,,,y,,primer_band_gf4,71034,0,"EPD (69106), REPD (1928)"
,cv,,,y,,primer_band_gr1,1469,0,EPD (1469)
,cv,,,y,,primer_band_gr2,1449,0,EPD (1449)
,cv,,,y,,primer_band_gr3,139401,0,"EPD (138996), REPD (405)"
,cv,,,y,,primer_band_gr4,128012,0,"EPD (127624), REPD (388)"
,cv,,,y,,primer_band_tr_pcr,275420,0,"EPD (269619), REPD (5801)"
,,,,n,,qc_assignment,2825,0,PGD (2825)
,,,,n,,qc_done,0,281,PCS (281)
,fk,,,y,qc system,qctest_result_id,873292,0,"EPD (457746), PGD (269116), PC (55174), PCS (42188), GRQ (38803), GR (7533), REPD (1717), PGG (1015)"
,cv,,,y,,rec-result,14588,0,DESIGN (14588)
,cv,,,y,,rec_d,14431,0,DESIGN (14431)
,cv,,,y,,rec_g,14431,0,DESIGN (14431)
,cv,,,y,,rec_ns,14413,0,DESIGN (14413)
,cv,,,y,,rec_u,14447,0,DESIGN (14447)
,cv,,,y,,redesign_recovery,2411,4,DESIGN (2415)
,,,,n,,report_data,0,1,EP (1)
,d,,,y,ep summary reporting,report_date,0,1198,EP (1198)
,cv,,,y,,resynthesis_recovery,0,19,DESIGN (19)
,,,,?,,seq_status,3415,0,GT (3415)
,d,,,y,,ship_date_csd,0,2990,"FP (2983), REPD (6), EPD (1)"
,d,,,y,,ship_date_hzm,0,2860,"FP (2852), REPD (7), EPD (1)"
,d,,,y,,ship_date_ucd,0,4,FP (4)
,cv,,,y,,shipped_to,31,0,EPD (31)
,,,,n,use the graph,sibling_well_id,91,0,PGD (91)
,,,,n,,source,0,88,DESIGN (88)
,,,,n,,sources,0,72,"DESIGN (69), GR (3)"
,cv,,,y,project tracking,sponsor,25069,61,"DESIGN (24625), EP (450), GR (48), PCS (7)"
,,,,n,,strain,10806,0,EPD (10806)
,fk,,,y,qc,synthetic_allele_id,551345,0,"EPD (541768), GR (7533), REPD (1978), PGD (66)"
,cv,,,y,qc,taqman_loxp_qc_result,839,0,REPD (839)
,cv,,,y,qc,target_region_pass_level,474943,0,"EPD (463948), REPD (10995)"
,fk,,,y,qc,target_region_qctest_result_id,474943,0,"EPD (463948), REPD (10995)"
,cv,,,y,qc,targeted_trap,61898,0,EPD (61898)
,cv,,,y,qc,three_arm_pass_level,78198,0,"EPD (77814), REPD (384)"
,fk,,,y,qc,three_arm_qctest_result_id,78198,0,"EPD (77814), REPD (384)"
,,,,n,,"time constants=120,120,117 ms",0,1,EP (1)
,,,,n,,vec_int,11534,0,EPD (11534)
